"","GeoCode","GeoCodeLabel","ContributingFactorCode","ContributingFactorDescription","Number_of_Vehicles","ContributingFactorGroup"
"99","K","BROOKLYN","16","PRESCRIPTION MEDICATION",1,"Intoxicate driving"
"100","K","BROOKLYN","17","TRAFFIC CONTROL DISREGARDED",81,"Wrong-Way driving & Improper turns"
"101","K","BROOKLYN","18","TURNING IMPROPERLY",60,"Wrong-Way driving & Improper turns"
"102","K","BROOKLYN","20","UNSAFE LANE CHANGING",49,"Wrong-Way driving & Improper turns"
"103","K","BROOKLYN","19","UNSAFE SPEED",101,"Speeding"
"104","Q","QUEENS","28","AGGRESSIVE DRIVING/ROAD RAGE",16,"Reckless driving"
"105","Q","QUEENS","02","ALCOHOL INVOLVEMENT",52,"Intoxicate driving"
"106","Q","QUEENS","03","BACKING UNSAFELY",95,"Wrong-Way driving & Improper turns"
"107","Q","QUEENS","23","CELL PHONE (HANDS-FREE)",1,"Driver distraction"
"108","Q","QUEENS","04","DRIVER INATTENTION/DISTRACTION",785,"Driver distraction"
"109","Q","QUEENS","05","DRIVER INEXPERIENCE",63,"Driver inexperience"
"110","Q","QUEENS","06","DRUGS (ILLEGAL)",3,"Intoxicate driving"
"111","Q","QUEENS","14","ERR/CONFUSN PED/BIKE/OTHER PED",29,"Other"
"112","Q","QUEENS","27","FAILURE TO KEEP RIGHT",2,"Wrong-Way driving & Improper turns"
"113","Q","QUEENS","07","FAILURE TO YIELD RIGHT-OF-WAY",286,"Wrong-Way driving & Improper turns"
"114","Q","QUEENS","21","FATIGUED/DROWSY",6,"Drowsy driving"
"115","Q","QUEENS","08","FELL ASLEEP",25,"Drowsy driving"
"116","Q","QUEENS","09","FOLLOWING TOO CLOSELY",321,"Tailgating"
"117","Q","QUEENS","10","ILLNESS",4,"Illness/Disability"
"118","Q","QUEENS","34","LISTENING/USING HEADPHONES",1,"Driver distraction"
"119","Q","QUEENS","11","LOST CONSCIOUSNESS",7,"Illness/Disability"
"120","Q","QUEENS","26","OTHER UNINVOLVED VEHICLE",49,"Other"
"121","Q","QUEENS","25","OUTSIDE CAR DISTRACTION",7,"Other"
"122","Q","QUEENS","12","PASSENGER DISTRACTION",4,"Other"
"123","Q","QUEENS","13","PASSING OR LANE USAGE IMPROPER",167,"Wrong-Way driving & Improper turns"
"124","Q","QUEENS","29","PASSING TOO CLOSELY",110,"Tailgating"
"125","Q","QUEENS","15","PHYSICAL DISABILITY",2,"Illness/Disability"
"126","Q","QUEENS","31","TEXTING",1,"Driver distraction"
"127","Q","QUEENS","17","TRAFFIC CONTROL DISREGARDED",100,"Wrong-Way driving & Improper turns"
"128","Q","QUEENS","18","TURNING IMPROPERLY",71,"Wrong-Way driving & Improper turns"
"129","Q","QUEENS","20","UNSAFE LANE CHANGING",72,"Wrong-Way driving & Improper turns"
"130","Q","QUEENS","19","UNSAFE SPEED",117,"Speeding"
"131","S","STATEN ISLAND","28","AGGRESSIVE DRIVING/ROAD RAGE",4,"Reckless driving"
"132","S","STATEN ISLAND","02","ALCOHOL INVOLVEMENT",8,"Intoxicate driving"
"133","S","STATEN ISLAND","03","BACKING UNSAFELY",13,"Wrong-Way driving & Improper turns"
"134","S","STATEN ISLAND","04","DRIVER INATTENTION/DISTRACTION",161,"Driver distraction"
"135","S","STATEN ISLAND","05","DRIVER INEXPERIENCE",15,"Driver inexperience"
"136","S","STATEN ISLAND","06","DRUGS (ILLEGAL)",1,"Intoxicate driving"
"137","S","STATEN ISLAND","14","ERR/CONFUSN PED/BIKE/OTHER PED",2,"Other"
"138","S","STATEN ISLAND","27","FAILURE TO KEEP RIGHT",3,"Wrong-Way driving & Improper turns"
"139","S","STATEN ISLAND","07","FAILURE TO YIELD RIGHT-OF-WAY",32,"Wrong-Way driving & Improper turns"
"140","S","STATEN ISLAND","21","FATIGUED/DROWSY",3,"Drowsy driving"
"141","S","STATEN ISLAND","08","FELL ASLEEP",5,"Drowsy driving"
"142","S","STATEN ISLAND","09","FOLLOWING TOO CLOSELY",50,"Tailgating"
"143","S","STATEN ISLAND","10","ILLNESS",2,"Illness/Disability"
"144","S","STATEN ISLAND","11","LOST CONSCIOUSNESS",3,"Illness/Disability"
"145","S","STATEN ISLAND","24","OTHER ELECTRONIC DEVICE",1,"Driver distraction"
"146","S","STATEN ISLAND","26","OTHER UNINVOLVED VEHICLE",11,"Other"
"147","S","STATEN ISLAND","25","OUTSIDE CAR DISTRACTION",2,"Other"
"148","S","STATEN ISLAND","13","PASSING OR LANE USAGE IMPROPER",19,"Wrong-Way driving & Improper turns"
"149","S","STATEN ISLAND","29","PASSING TOO CLOSELY",6,"Tailgating"
"150","S","STATEN ISLAND","17","TRAFFIC CONTROL DISREGARDED",11,"Wrong-Way driving & Improper turns"
"151","S","STATEN ISLAND","18","TURNING IMPROPERLY",9,"Wrong-Way driving & Improper turns"
"152","S","STATEN ISLAND","20","UNSAFE LANE CHANGING",17,"Wrong-Way driving & Improper turns"
"153","S","STATEN ISLAND","19","UNSAFE SPEED",23,"Speeding"
